16666667
7474843627469	7474874036405	7474844217028
7474860737617	7474890749662	7474861385811
7474877010119	7474907481229	7474877678047
7474893637886	7474924193713	7474894359199
7474910987739	7474940931139	7474911599230
7474927848742	7474957652494	7474928501167
7474943845324	7474974381782	7474944525907
7474960633939	7474991104113	7474961388130
7474977575467	7475007820991	7474978254463
7474993982409	7475024563586	7474994674670
7475012052030	7475041273954	7475012747831
7475027860461	7475058009671	7475028539741
7475044181424	7475074733548	7475044925606
7475061132311	7475091456978	7475061837878
7475078107083	7475108167264	7475078938423
7475094691231	7475124998563	7475095544258
7475111327054	7475141626330	7475112056587
7475127823270	7475158345202	7475128519478
7475144444445	7475175060615	7475145149157
7475161358060	7475191792101	7475162109973
7475178290352	7475208531563	7475178965848
7475195881823	7475225247546	7475196611071
7475211988065	7475241971016	7475212824694
7475228761299	7475258688911	7475229470568
7475245954496	7475275427722	7475246493273
7475261886665	7475292141304	7475262445259
7475278712308	7475308981107	7475279410550
7475295023140	7475325593046	7475295710233
7475312096219	7475342319160	7475312832303
7475328832425	7475359044787	7475329615100
7475345324003	7475375767647	7475346011380
7475362296415	7475392497017	7475362981595
7475379010038	7475409229479	7475379705187
7475395833076	7475425955391	7475396642321
7475412392036	7475442678495	7475413045886
7475429154081	7475459400907	7475429844714
7475445693347	7475476133451	7475446365669
7475462440743	7475492857246	7475463137927
7475479119982	7475509582303	7475479805489
7475495663684	7475526316923	7475496356840
7475512573840	7475543028674	7475513264107
7475529446195	7475559780220	7475530190295
7475546411690	7475576486885	7475547150866
7475563353462	7475593303291	7475564098010
7475579953967	7475609939644	7475580672473
7475596065051	7475626655179	7475596777657
7475612700427	7475643376452	7475613378243
7475629529162	7475660100980	7475630238472
7475646722847	7475676841459	7475647491727
7475663245756	7475693552356	7475664745552
7475680034045	7475710292834	7475680753731
7475697270088	7475727018298	7475698004138
7475713682035	7475743732572	7475714320748
7475730067614	7475760451932	7475730762194
7475746742297	7475777177356	7475747437447
7475763814278	7475793899646	7475764493111
7475780244454	7475810618884	7475780960070
7475797181547	7475827330350	7475797796089
7475813887276	7475844080228	7475814498563
7475830841011	7475860789172	7475831533231
7475847069730	7475877508695	7475847708646
7475864294218	7475894241849	7475864942167
7475880570829	7475910966255	7475881260119
7475897386421	7475927686267	7475898104276
7475914317248	7475944397204	7475914941475
7475931111845	7475961141833	7475931771146
7475947998685	7475977865181	7475948667753
7475965079252	7475994593453	7475965692859
7475982088977	7476011316150	7475983059395
7475998039945	7476028034330	7475998753528
7476014326648	7476044751412	7476015160103
7476031031360	7476061499540	7476031698962
7476047808866	7476078225248	7476048562772
7476066068144	7476094944690	7476066787667
7476081642077	7476111667753	7476082319690
7476097953479	7476128379057	7476098713204
7476115210152	7476145110502	7476115899442
7476131769966	7476161830676	7476132518298
7476148039620	7476178562203	7476148752592
7476165041858	7476195281848	7476165717191
7476181737170	7476212008980	7476182612170
7476198776640	7476228733712	7476199443998
7476215363879	7476245460966	7476215975940
7476231583362	7476262194812	7476232264595
7476248574654	7476278918323	7476249250679
7476265457467	7476295636829	7476266134509
7476283060453	7476312362130	7476283724760
7476299080473	7476329084094	7476299712960
7476315486275	7476345806832	7476316164132
7476332091134	7476362684558	7476332757271
7476348639758	7476379252917	7476349279651
7476365743274	7476395969307	7476366604480
7476382131702	7476412680693	7476382766345
7476399108101	7476429415068	7476399745308
7476415539498	7476446142688	7476416278308
7476432476265	7476462860950	7476433200346
7476449061145	7476479584054	7476449745797
7476466054024	7476496301257	7476466784696
7476482773751	7476513031319	7476483427437
7476499552722	7476529768746	7476500169177
7476515625029	7476546495471	7476516290190
7476532882638	7476563218534	7476533564197
7476549651518	7476579947945	7476550437773
7476566200305	7476596662789	7476566896432
7476583092761	7476613396065	7476583785551
7476600322253	7476630113351	7476601025867
7476616595610	7476646839303	7476617486560
7476634083484	7476663561471	7476634832833
7476669788766	7476697131702	7476670873564
7476969471342	7476998115589	7476970205025
7476984804472	7477014710966	7476985505359
7477000763660	7477031443144	7477001144479
7477017576363	7477048164702	7477017563343
7477034815581	7477064887073	7477034660592
7477051128976	7477081611153	7477051210559
7477067594796	7477098347482	7477067707386
7477084710844	7477115062488	7477084848621
7477101752267	7477131791207	7477101837797
7477118351388	7477148510852	7477118634428
7477134750476	7477165237171	7477134848702
7477151559070	7477182139840	7477151683704
7477168260812	7477198675891	7477168469023
7477185098702	7477215405099	7477185162871
7477202144153	7477232132597	7477202262236
7477218497954	7477248857329	7477218610991
7477235148711	7477265577015	7477235352324
7477252611805	7477282304757	7477252888497

